TransactionID,CustomerSegment,TransactionDate,Items
1,Healthy,2025-08-21,"Apple,Banana,Bread,Cheese,Rice,Water"
2,Healthy,2025-02-02,"Apple,Banana,Biscuits,Coffee,Sugar,Tomato Sauce,Water"
3,Student,2025-03-26,"Cereal,Cheese,Chocolate,Pasta,Tomato Sauce"
4,Family,2025-10-02,"Biscuits,Bread,Diapers,Eggs,Milk,Sugar"
5,Student,2025-03-03,"Cereal,Milk,Pasta,Water"
6,Household,2025-04-18,"Chicken,Onion,Rice,Shampoo,Soap,Sugar,Tissues"
7,Healthy,2025-12-09,"Banana,Butter,Sugar,Water"
8,Household,2025-06-03,"Baby Wipes,Detergent,Yogurt"
9,Student,2025-02-24,"Biscuits,Chips,Sugar"
10,Healthy,2025-09-02,"Bread,Chips,Honey,Water"
11,Family,2025-12-09,"Biscuits,Butter,Chocolate,Ice Cream,Juice,Soap,Tomato Sauce"
12,Family,2025-05-23,"Banana,Cheese,Juice,Milk,Tomato Sauce"
13,Household,2025-11-02,"Coffee,Detergent,Water"
14,Family,2025-11-17,"Bread,Cereal,Diapers,Eggs,Milk"
15,Family,2025-01-21,"Bread,Cereal,Eggs,Juice,Milk"
16,Healthy,2025-02-28,"Chicken,Onion,Orange,Rice"
17,Student,2025-03-06,"Butter,Chocolate,Toothpaste"
18,Student,2025-11-09,"Chicken,Shampoo,Soap"
19,Household,2025-11-18,"Cereal,Milk,Shampoo,Tissues"
20,Family,2025-04-24,"Bread,Butter,Cereal,Diapers,Milk"
21,Healthy,2025-03-06,"Cheese,Fish,Orange,Pasta,Yogurt"
22,Healthy,2025-03-06,"Cheese,Fish,Sugar,Tomato Sauce"
23,Family,2025-09-17,"Cereal,Chicken,Milk,Onion,Rice"
24,Family,2025-08-09,"Apple,Cereal,Milk,Olive Oil,Yogurt"
25,Family,2025-06-23,"Baby Wipes,Bread,Cereal,Chicken,Eggs,Onion,Rice"
26,Family,2025-06-14,"Beef,Bread,Butter,Eggs,Milk"
27,Healthy,2025-07-05,"Bread,Butter,Fish,Jam,Milk,Pasta"
28,Family,2025-03-12,"Baby Wipes,Bread,Butter,Cereal,Eggs,Jam,Milk"
29,Household,2025-08-03,"Beef,Bread,Soap"
30,Healthy,2025-04-13,"Bread,Cheese,Chicken,Milk"
31,Household,2025-09-20,"Biscuits,Butter,Coffee,Detergent,Sugar"
32,Household,2025-10-05,"Bread,Butter,Detergent,Jam,Soap,Tissues"
33,Family,2025-03-06,"Apple,Baby Wipes,Bread,Eggs,Milk"
34,Healthy,2025-03-14,"Butter,Cereal,Chicken,Milk,Yogurt"
35,Family,2025-04-12,"Baby Wipes,Cereal,Diapers,Juice,Sugar,Tea"
36,Healthy,2025-06-10,"Apple,Bread,Butter,Chicken,Fish,Milk"
37,Student,2025-05-28,"Bread,Eggs,Milk"
38,Household,2025-05-29,"Detergent,Rice,Shampoo"
39,Household,2025-03-23,"Detergent,Shampoo,Tissues"
40,Student,2025-08-25,"Chips,Chocolate,Shampoo,Soap,Tomato Sauce,Toothpaste"
41,Healthy,2025-05-22,"Apple,Bread,Butter,Milk,Orange"
42,Family,2025-03-18,"Baby Wipes,Bread,Butter,Cereal,Chocolate,Ice Cream,Milk"
43,Family,2025-06-07,"Baby Wipes,Bread,Eggs,Juice,Soda"
44,Family,2025-09-16,"Cheese,Fish,Milk,Pasta,Tomato Sauce"
45,Student,2025-04-28,"Bread,Chocolate,Eggs"
46,Family,2025-10-27,"Bread,Cereal,Cheese,Milk,Pasta,Shampoo,Soap,Tomato Sauce,Toothpaste"
47,Healthy,2025-08-23,"Cheese,Fish,Olive Oil,Yogurt"
48,Family,2025-08-05,"Baby Wipes,Bread,Butter,Diapers,Jam,Milk"
49,Healthy,2025-06-28,"Detergent,Onion,Rice,Soap"
50,Student,2025-11-13,"Chicken,Chips,Pasta,Soda,Tomato Sauce"
51,Family,2025-10-06,"Baby Wipes,Cereal,Diapers,Onion,Tea"
52,Household,2025-05-08,"Baby Wipes,Diapers,Soap,Tissues"
53,Family,2025-04-14,"Cereal,Eggs,Jam,Juice,Milk"
54,Household,2025-07-30,"Butter,Coffee,Tissues,Toothpaste"
55,Healthy,2025-01-21,"Banana,Biscuits,Cereal,Diapers,Orange"
56,Household,2025-09-26,"Baby Wipes,Biscuits,Milk,Sugar,Tea"
57,Family,2025-05-30,"Cereal,Chicken,Juice,Milk,Onion,Rice"
58,Student,2025-12-25,"Butter,Chips,Chocolate,Soda,Sugar"
59,Household,2025-12-18,"Cheese,Pasta,Tissues,Tomato Sauce,Toothpaste"
60,Healthy,2025-05-19,"Apple,Cheese,Juice,Onion,Orange,Rice,Yogurt"
61,Family,2025-04-01,"Cereal,Eggs,Honey,Milk,Orange"
62,Household,2025-02-09,"Biscuits,Coffee,Milk,Sugar,Water"
63,Family,2025-06-19,"Bread,Cereal,Eggs,Shampoo,Soap"
64,Family,2025-09-25,"Baby Wipes,Biscuits,Cereal,Diapers,Juice"
65,Student,2025-10-02,"Shampoo,Soap,Soda,Toothpaste"
66,Household,2025-04-09,"Chips,Coffee,Milk,Soda"
67,Household,2025-07-12,"Beef,Shampoo,Soap,Tissues,Toothpaste"
68,Household,2025-06-03,"Cereal,Chocolate,Milk,Soap,Tissues"
69,Household,2025-11-21,"Bread,Eggs,Shampoo,Soap,Toothpaste"
70,Family,2025-09-16,"Bread,Cereal,Chicken,Chips,Coffee,Eggs,Milk,Olive Oil"
71,Family,2025-10-21,"Butter,Chips,Eggs,Milk,Soda"
72,Healthy,2025-12-14,"Apple,Cereal,Fish,Water,Yogurt"
73,Student,2025-08-24,"Baby Wipes,Diapers,Eggs"
74,Student,2025-04-21,"Bread,Butter,Eggs,Ice Cream,Milk,Tomato Sauce"
75,Student,2025-04-18,"Chips,Pasta,Soda"
76,Healthy,2025-07-18,"Beef,Biscuits,Coffee,Sugar"
77,Student,2025-03-23,"Chips,Orange,Soda,Tomato Sauce"
78,Student,2025-04-16,"Butter,Chocolate,Pasta"
79,Student,2025-10-11,"Bread,Chocolate,Pasta"
80,Household,2025-01-03,"Biscuits,Soap,Tissues"
81,Family,2025-03-23,"Apple,Baby Wipes,Bread,Chips,Honey,Soda"
82,Family,2025-07-05,"Cereal,Chips,Diapers,Honey,Milk,Soda"
83,Healthy,2025-03-09,"Apple,Banana,Biscuits,Chips,Soda,Sugar,Tea"
84,Family,2025-07-29,"Baby Wipes,Diapers,Milk,Orange,Tomato Sauce"
85,Student,2025-01-30,"Ice Cream,Tomato Sauce,Water"
86,Household,2025-07-13,"Cheese,Chips,Coffee,Detergent,Tomato Sauce,Yogurt"
87,Student,2025-07-10,"Chocolate,Ice Cream,Milk,Tea,Water"
88,Healthy,2025-04-11,"Butter,Chicken,Honey,Tea,Water"
89,Family,2025-02-10,"Baby Wipes,Bread,Diapers,Milk,Onion"
90,Family,2025-12-24,"Baby Wipes,Bread,Eggs,Milk,Potato,Tissues"
91,Student,2025-04-07,"Cheese,Coffee,Pasta,Tomato Sauce"
92,Household,2025-12-07,"Bread,Butter,Detergent,Soap"
93,Household,2025-12-19,"Detergent,Olive Oil,Soap"
94,Student,2025-04-09,"Cereal,Milk,Pasta,Water"
95,Family,2025-07-25,"Diapers,Juice,Shampoo,Soap,Toothpaste"
96,Student,2025-04-22,"Banana,Chicken,Fish,Onion,Rice,Tomato Sauce"
97,Healthy,2025-09-14,"Apple,Baby Wipes,Cheese,Diapers,Olive Oil"
98,Student,2025-04-19,"Chocolate,Ice Cream,Tomato Sauce"
99,Family,2025-11-17,"Baby Wipes,Biscuits,Eggs,Milk,Shampoo"
100,Family,2025-11-23,"Baby Wipes,Diapers,Honey,Juice,Tea"
101,Household,2025-02-25,"Baby Wipes,Chicken,Diapers,Fish,Shampoo,Soap,Tissues"
102,Student,2025-11-10,"Bread,Butter,Eggs,Honey,Milk,Tea"
103,Household,2025-02-25,"Potato,Sugar,Tea"
104,Student,2025-04-10,"Olive Oil,Onion,Water"
105,Family,2025-01-16,"Biscuits,Bread,Chicken,Eggs,Juice"
106,Family,2025-02-22,"Cereal,Chicken,Onion,Rice,Water"
107,Student,2025-12-24,"Soda,Tomato Sauce,Water"
108,Student,2025-09-07,"Chips,Coffee,Soda"
109,Family,2025-05-01,"Biscuits,Coffee,Eggs,Milk,Sugar"
110,Student,2025-10-25,"Chips,Chocolate,Coffee"
111,Student,2025-11-12,"Bread,Eggs,Juice,Milk"
112,Family,2025-09-30,"Bread,Cereal,Eggs,Jam,Milk"
113,Healthy,2025-05-22,"Banana,Bread,Butter,Chocolate,Fish,Sugar,Yogurt"
114,Healthy,2025-10-18,"Banana,Fish,Onion,Tissues"
115,Student,2025-09-08,"Coffee,Pasta,Soap,Water"
116,Healthy,2025-02-11,"Apple,Butter,Fish,Jam,Orange,Water,Yogurt"
117,Family,2025-04-01,"Cheese,Coffee,Honey,Milk,Olive Oil"
118,Family,2025-04-21,"Bread,Eggs,Jam,Juice,Tissues"
119,Student,2025-12-24,"Cereal,Chips,Eggs,Sugar,Yogurt"
120,Household,2025-04-07,"Baby Wipes,Diapers,Shampoo"
121,Household,2025-03-27,"Bread,Butter,Detergent,Milk,Shampoo,Tissues"
122,Healthy,2025-06-07,"Banana,Chicken,Coffee,Orange"
123,Family,2025-10-30,"Bread,Cereal,Diapers,Milk,Potato"
124,Healthy,2025-12-21,"Biscuits,Cheese,Rice,Toothpaste"
125,Family,2025-03-13,"Baby Wipes,Banana,Beef,Milk,Soda"
126,Household,2025-10-24,"Pasta,Soap,Tissues"
127,Healthy,2025-12-11,"Banana,Chips,Soda,Yogurt"
128,Family,2025-12-05,"Baby Wipes,Bread,Chips,Milk,Soda"
129,Healthy,2025-01-14,"Apple,Baby Wipes,Biscuits,Butter,Diapers,Fish,Yogurt"
130,Healthy,2025-02-18,"Beef,Biscuits,Bread,Fish,Rice,Sugar,Tea,Yogurt"
131,Student,2025-05-12,"Chips,Onion,Rice,Soda"
132,Healthy,2025-06-18,"Apple,Banana,Fish,Orange,Yogurt"
133,Household,2025-04-18,"Diapers,Eggs,Onion,Tissues,Toothpaste"
134,Household,2025-03-30,"Bread,Juice,Shampoo"
135,Healthy,2025-01-15,"Baby Wipes,Banana,Diapers,Eggs,Milk"
136,Family,2025-05-24,"Baby Wipes,Cereal,Chips,Juice,Soda"
137,Healthy,2025-12-13,"Cereal,Orange,Pasta,Shampoo,Soap,Toothpaste,Water"
138,Family,2025-06-08,"Baby Wipes,Bread,Cereal,Juice,Milk,Toothpaste"
139,Household,2025-02-11,"Biscuits,Coffee,Soap,Sugar,Toothpaste"
140,Healthy,2025-11-29,"Chicken,Fish,Onion,Sugar"
141,Family,2025-03-24,"Milk,Shampoo,Soap,Toothpaste,Water"
142,Family,2025-07-01,"Baby Wipes,Bread,Eggs,Ice Cream,Milk,Tissues"
143,Healthy,2025-09-29,"Chicken,Fish,Rice,Shampoo,Water"
144,Student,2025-06-04,"Bread,Eggs,Ice Cream"
145,Family,2025-10-26,"Baby Wipes,Biscuits,Butter,Juice,Orange,Sugar,Tea"
146,Family,2025-01-15,"Bread,Cereal,Cheese,Diapers,Juice,Milk,Pasta,Tomato Sauce"
147,Healthy,2025-10-19,"Banana,Eggs,Fish,Jam"
148,Student,2025-09-18,"Cheese,Chocolate,Olive Oil,Pasta,Tomato Sauce,Water"
149,Healthy,2025-02-15,"Apple,Baby Wipes,Bread,Chips,Milk,Water"
150,Student,2025-04-09,"Chicken,Chips,Pasta,Rice"
151,Student,2025-11-25,"Chocolate,Pasta,Tomato Sauce"
152,Healthy,2025-07-13,"Apple,Soap,Toothpaste,Yogurt"
153,Family,2025-08-29,"Baby Wipes,Bread,Butter,Eggs,Milk,Rice"
154,Family,2025-05-29,"Biscuits,Chips,Coffee,Diapers,Milk,Sugar"
155,Student,2025-06-17,"Butter,Chocolate,Soda,Water"
156,Family,2025-05-20,"Cereal,Detergent,Milk,Orange,Soda"
157,Student,2025-02-13,"Apple,Pasta,Soda,Yogurt"
158,Family,2025-04-16,"Banana,Butter,Eggs,Tomato Sauce,Water"
